story,countrylist,startdate,articles
17259,United States,2/23/2001,2
46707,United States|United Kingdom|Ireland|Unknown,1/9/2009,12
17250,Unknown,2/22/2001,2
17251,United States,2/22/2001,2
17252,Unknown,2/22/2001,2
17253,Canada|United States,2/21/2001,3
17254,United States,2/23/2001,2
17255,United States|Norway,2/17/2001,3
17256,United Kingdom|Canada,2/23/2001,3
17257,United Kingdom,2/23/2001,2
10709,United States|Unknown,10/20/1999,2
10708,United States,10/20/1999,3
16645,United States,12/27/2000,6
46702,Canada,1/9/2009,3
54546,United States,5/15/2011,2
9259,United States,6/24/1999,2
10703,Canada,10/20/1999,2
10702,United States,10/20/1999,2
10701,United States|Unknown,10/20/1999,5
10700,Canada|Unknown,10/18/1999,2
10707,Unknown,10/19/1999,2
10706,Unknown,10/15/1999,3
10705,United States,10/20/1999,2
10704,United States,10/20/1999,3
46793,India,1/13/2009,3
46792,United Kingdom|Unknown,1/20/2009,2
46791,United States|Unknown,1/20/2009,2
46790,Canada|United Kingdom|Qatar|Australia|England|Libya|Singapore|Unknown|India|Azerbaijan|France|United States|Malaysia|Netherlands|China|Ireland|Thailand|Japan|New Zealand|Norway,7/7/2008,1796
21619,Netherlands,4/26/2002,2
21618,Netherlands,4/25/2002,2
46795,United States|Unknown|Australia|Canada,1/1/2009,20
46794,United States,1/20/2009,2
21615,United States,4/25/2002,2
21614,United States,4/26/2002,2
21617,United States|Unknown,4/22/2002,3
21616,United States|Australia,4/23/2002,6
21611,United States|Unknown,4/26/2002,2
21610,Canada,4/26/2002,5
21613,United States,4/26/2002,2
21612,United States,4/26/2002,2
54541,United Kingdom,5/14/2011,2
5982,United States,9/22/1998,2
45448,United States|Australia,7/27/2008,2
45449,United States,7/27/2008,2
45446,Unknown,7/27/2008,2
45447,Australia,7/27/2008,2
45444,Unknown,7/27/2008,2
45445,Australia,7/27/2008,2
45442,United States|Unknown,7/18/2008,4
45443,United Kingdom,7/15/2008,7
45440,United States|Canada|Unknown,7/26/2008,6
45441,Malaysia|Singapore,7/26/2008,2
44799,New Zealand,5/9/2008,2
44798,United States|Unknown,5/8/2008,3
54540,Canada|Unknown,5/13/2011,4
5981,United States,9/18/1998,2
8955,United States,5/30/1999,2
48620,United Kingdom,9/22/2009,2
44791,United States,5/8/2008,2
44790,Unknown|India,5/8/2008,2
44793,United Kingdom,5/8/2008,3
44792,United States|Unknown,5/8/2008,2
44795,United States,5/9/2008,2
44794,United States|Canada|Unknown,4/24/2008,11
44797,United States,5/8/2008,3
44796,United States,5/9/2008,3
46869,United States,1/29/2009,3
46868,United Kingdom,1/27/2009,6
48622,Australia,9/22/2009,2
58079,United States,4/25/2012,2
58078,United Kingdom,4/25/2012,2
46861,Unknown,1/28/2009,3
46860,India,1/21/2009,7
46863,South Africa,1/28/2009,2
46862,Unknown,1/26/2009,2
46865,Australia,1/28/2009,2
46864,United States,1/27/2009,2
46867,United States|Unknown|Norway,1/1/2009,44
46866,Unknown,1/28/2009,2
54543,United States,5/14/2011,2
31677,United States,12/13/2004,2
48627,Australia,9/23/2009,2
48626,Canada|Unknown,9/16/2009,2
48629,Unknown|Australia,9/16/2009,2
48628,Malaysia|Unknown,9/23/2009,2
54542,Australia,5/14/2011,2
51822,United States,8/11/2010,3
36421,United Kingdom,2/24/2006,2
13058,United States,2/22/2000,2
13059,United States,2/22/2000,3
41398,United States,5/27/2007,2
51825,Unknown,8/12/2010,2
13052,Canada,2/21/2000,3
13053,United States,2/22/2000,2
13050,United States|Unknown,2/3/2000,11
13051,United Kingdom|Unknown|Ireland,2/9/2000,10
13056,United Kingdom|New Zealand,2/22/2000,3
13057,United States,2/22/2000,2
13054,United Kingdom,2/22/2000,2
13055,United States,2/22/2000,2
54170,Australia|South Africa,4/8/2011,2
54171,England,4/8/2011,3
54172,United States,4/9/2011,2
54173,Australia,4/9/2011,2
54174,India,4/9/2011,2
54175,United States|England,4/9/2011,4
54176,United States,4/9/2011,3
54177,United Kingdom,4/9/2011,2
54178,Australia,4/9/2011,2
54179,United States,4/9/2011,2
51824,United Kingdom|Canada|Australia,7/30/2010,15
20258,United States,12/20/2001,2
20259,United States,12/14/2001,5
20252,United States,12/17/2001,4
20253,United States,12/20/2001,2
20250,United States,12/20/2001,2
20251,United States,12/20/2001,2
20256,United States,12/20/2001,3
20257,United States,12/20/2001,2
20254,United States,12/20/2001,2
20255,United States|Unknown,12/15/2001,5
40966,India,4/20/2007,2
40967,United States|Unknown,4/13/2007,2
40964,United States,4/20/2007,2
40965,United States|Unknown,4/19/2007,4
29769,Unknown,6/14/2004,2
29768,Unknown,6/13/2004,2
40960,United Kingdom|Unknown,4/19/2007,2
40961,United Kingdom|Unknown,4/19/2007,2
29765,New Zealand,6/14/2004,2
29764,United States,6/13/2004,2
29767,United States|Canada|Philippines|Unknown,6/12/2004,26
29766,United States,6/14/2004,2
29761,United States,6/13/2004,2
29760,United States,6/13/2004,2
29763,Australia,6/13/2004,2
29762,United States,6/13/2004,2
1177,United States|Unknown,3/1/1994,5
1176,United States,2/28/1994,5
1175,United States|Unknown,3/4/1994,2
1174,Canada|United States,3/2/1994,2
1173,Unknown,3/3/1994,2
1172,United States,3/2/1994,2
1171,United States|Australia,2/22/1994,3
1170,United States|Canada|Singapore,2/24/1994,4
23507,United States,10/31/2002,2
23506,United States|Unknown,11/4/2002,2
23505,United States|Unknown|Canada,10/30/2002,3
23504,United States|Unknown,11/4/2002,3
16883,United States|England|United Kingdom,1/4/2001,7
23502,United Kingdom|Unknown,10/28/2002,2
1179,Unknown,3/3/1994,3
1178,Unknown,2/28/1994,2
40328,Canada|France,2/23/2007,4
27619,United States,12/1/2003,2
27618,Unknown,11/28/2003,2
27617,Unknown,12/1/2003,2
27616,Unknown,12/1/2003,2
27615,Canada,12/1/2003,2
27614,United States,12/1/2003,2
27613,United States|Unknown,11/30/2003,4
27612,United States,12/1/2003,2
27611,United States,12/1/2003,2
27610,United States,12/1/2003,3
54307,Australia,4/18/2011,2
52973,Canada,12/16/2010,2
52833,Unknown,12/1/2010,3
54306,United States|Unknown|Canada|France,4/4/2011,43
6261,United States|Unknown,11/2/1998,2
12833,United States|Canada,1/22/2000,29
12832,Unknown,2/5/2000,4
12831,United States,2/7/2000,2
12830,United States|Unknown,2/2/2000,4
12837,United Kingdom,2/7/2000,2
12836,United Kingdom|New Zealand,2/7/2000,5
12835,Unknown,2/7/2000,2
12834,United States,2/7/2000,2
8545,United States,4/28/1999,2
627,United States,2/7/1992,2
12839,Canada|United States,2/3/2000,6
12838,United Kingdom,2/7/2000,2
8541,Canada,4/28/1999,5
8540,United States,4/21/1999,3
8543,United States,4/28/1999,2
626,United States,1/30/1992,5
7214,United States,1/20/1999,2
50419,United Kingdom,3/18/2010,3
50418,Korea,3/12/2010,2
50413,Korea,3/17/2010,2
50412,Unknown|Ireland,3/17/2010,3
50411,Canada,3/5/2010,3
50410,Unknown,3/17/2010,2
50417,Canada|Unknown,3/17/2010,2
50416,Canada|Unknown|New Zealand|United States,3/17/2010,3
50415,United States,3/17/2010,2
50414,United States|China,3/16/2010,3
55629,Netherlands,9/5/2011,2
55628,United States,9/5/2011,9
55623,United States|India,9/5/2011,2
55622,United States|Pakistan,9/5/2011,2
55621,United Kingdom,9/4/2011,2
55620,United States,9/4/2011,2
55627,Unknown,9/5/2011,2
55626,United States,9/5/2011,2
55625,Unknown,8/31/2011,3
55624,Unknown,9/5/2011,2
52811,Unknown,11/26/2010,2
52810,Unknown,11/26/2010,2
52813,United States|Unknown,11/28/2010,2
52812,United Kingdom|Unknown,11/28/2010,2
52815,Australia,11/28/2010,4
52814,India,11/27/2010,3
22678,United States,8/8/2002,2
22679,United States,8/8/2002,2
22676,United States,8/8/2002,2
22677,United Kingdom,8/8/2002,2
22674,United Kingdom|Unknown,8/5/2002,8
22675,United States,8/8/2002,2
22672,Unknown|Australia,8/8/2002,3
22673,Unknown,8/8/2002,2
22670,United States,8/7/2002,2
22671,Unknown,8/7/2002,2
8291,United States,4/8/1999,2
16884,United States,1/13/2001,2
26568,Unknown,8/15/2003,2
26569,United States|Unknown,8/15/2003,2
26566,Australia,8/14/2003,2
26567,New Zealand,8/15/2003,2
26564,United Kingdom|United States|Unknown|France,8/11/2003,6
26565,United States,8/14/2003,2
26562,United Kingdom,8/14/2003,2
26563,United States,8/13/2003,2
26560,United States|United Kingdom|England|Unknown,8/9/2003,5
26561,United States|Unknown,8/14/2003,2
8292,United Kingdom|New Zealand,4/6/1999,5
8295,United States|England,4/8/1999,2
8294,United States,4/8/1999,2
48919,United States,10/24/2009,2
49160,United Kingdom,11/18/2009,3
48918,United States,10/23/2009,2
393,United States,4/23/1991,3
392,United States,4/27/1991,2
391,United States,4/24/1991,2
390,United States,4/24/1991,3
397,United States,4/30/1991,2
396,Canada|United States,5/1/1991,2
395,United States,4/30/1991,2
394,United States,4/29/1991,2
399,Canada|United Kingdom,5/2/1991,2
398,United States,5/2/1991,2
27898,United States,12/27/2003,4
9337,United States,6/30/1999,2
48913,United States|Unknown|India,10/21/2009,2
48912,United States,10/22/2009,2
32224,Unknown,1/26/2005,2
32225,Canada,1/27/2005,2
32226,Unknown,1/24/2005,2
32227,United States,1/22/2005,2
32220,United States|Unknown,1/26/2005,2
32221,Canada,1/26/2005,4
32222,United States|United Kingdom,1/27/2005,2
32223,United States,1/20/2005,4
32228,United States,1/12/2005,10
32229,United Kingdom|Unknown|United States|Canada,1/13/2005,8
54300,United States|Unknown,4/17/2011,4
41067,Canada|Unknown,4/30/2007,2
7215,United States|Unknown,1/18/1999,2
3748,Canada|United States,10/20/1997,3
3749,Unknown,10/23/1997,3
3746,United States,10/23/1997,2
3747,United States,10/19/1997,3
3744,United States,10/22/1997,2
3745,United States,10/22/1997,2
3742,Canada|Unknown|United States|France,10/16/1997,9
3743,United States,10/16/1997,2
3740,United Kingdom,10/21/1997,2
3741,United States|Unknown,10/20/1997,5
8800,United States|Unknown|England,5/4/1999,10
57661,United States,3/15/2012,2
57660,Canada,3/15/2012,2
57663,India,3/14/2012,2
57662,Canada,3/15/2012,2
57665,United Kingdom,3/16/2012,2
57664,New Zealand,3/15/2012,2
57667,China|Korea|India|Unknown,3/11/2012,5
57666,United States|Unknown,3/16/2012,2
57669,United Kingdom|New Zealand,3/15/2012,2
57668,Australia,3/12/2012,2
52103,Australia,9/12/2010,2
52102,United Kingdom|Unknown|England,9/5/2010,3
52101,United States,9/11/2010,2
52100,Canada|Unknown,9/11/2010,3
52107,United States,9/12/2010,3
52106,Unknown,9/11/2010,3
52105,United Kingdom|United States,8/25/2010,11
52104,United Kingdom,9/12/2010,2
52109,United Kingdom,9/12/2010,2
52108,Canada|Unknown,9/12/2010,2
49163,Malaysia|Unknown|Pakistan,11/18/2009,4
31162,United States,10/29/2004,2
31163,United States,10/29/2004,2
21930,Unknown,5/27/2002,2
21931,Unknown,5/22/2002,2
21932,United Kingdom,5/27/2002,2
21933,France,5/28/2002,3
21934,United States|Unknown|United Kingdom|Canada|France,5/27/2002,14
21935,United States,5/28/2002,2
21936,United Kingdom,5/28/2002,2
21937,Unknown,5/28/2002,2
21938,Unknown,5/28/2002,2
21939,Unknown,5/28/2002,2
9336,United States,6/30/1999,2
57085,Malaysia|Singapore,1/19/2012,2
57084,Australia,1/7/2012,7
57087,Unknown,1/18/2012,2
57086,United States,1/19/2012,2
57081,United States|Canada|Unknown,1/17/2012,5
57080,Unknown,1/12/2012,7
57083,United States|Ireland,1/19/2012,2
57082,United States|Canada|South Africa|China|Unknown,1/17/2012,9
57089,Unknown,1/18/2012,2
31168,United States,10/27/2004,2
19973,United States|Unknown,11/20/2001,5
31169,United States,10/22/2004,10
271,United States,8/1/1990,2
272,United States,7/31/1990,3
273,United States,8/9/1990,2
8801,New Zealand,5/18/1999,2
274,United States,8/8/1990,3
53912,United States,3/6/2011,3
275,United States|Singapore,8/11/1990,27
15708,United States,10/12/2000,2
15709,United Kingdom|Unknown,10/11/2000,2
276,United States,8/28/1990,2
15700,United States,10/12/2000,3
15701,United Kingdom|Unknown,10/12/2000,2
15702,United States|Unknown,10/11/2000,2
15703,United Kingdom,10/11/2000,4
15704,Canada,10/12/2000,2
15705,United States,10/12/2000,3
15706,Canada,10/12/2000,2
15707,United States,10/12/2000,2
9757,United States|Unknown,7/26/1999,2
278,United States,8/30/1990,9
9755,United States,7/29/1999,2
9754,United States,7/29/1999,2
9753,United States,7/29/1999,2
9752,United States,7/29/1999,2
9751,United States,7/28/1999,3
279,United States,9/7/1990,2
19979,United States,11/22/2001,2
9759,United Kingdom|United States|Australia|Unknown,7/16/1999,15
9758,Canada|Unknown,7/30/1999,5
24146,Malaysia,1/6/2003,2
24147,United States|Unknown,12/30/2002,25
24144,Unknown,1/4/2003,2
24145,Canada|Unknown,12/29/2002,5
24142,United Kingdom,1/5/2003,2
24143,Canada,1/5/2003,2
24140,Unknown,1/1/2003,6
24141,United States,12/29/2002,3
37308,New Zealand,5/21/2006,2
37309,United States,5/19/2006,2
24148,United States|Unknown,1/6/2003,2
24149,Malaysia|Singapore,1/4/2003,2
49162,New Zealand,11/18/2009,2
55839,United States,9/24/2011,3
37078,United Kingdom,4/29/2006,3
37079,United States,4/29/2006,2
33757,Canada,6/11/2005,3
33756,Canada,6/11/2005,2
58262,United States|Unknown,5/10/2012,2
33755,New Zealand,6/11/2005,2
11844,United States,12/30/1999,2
33753,United States|England,6/11/2005,3
33752,United States,6/10/2005,2
33751,Unknown,6/2/2005,3
33750,Unknown,6/10/2005,2
52468,Ireland|South Africa,10/24/2010,4
52469,United States|Unknown|New Zealand,10/21/2010,2
30334,United States|Unknown|Canada,8/1/2004,2
30226,New Zealand,7/23/2004,2
30336,Unknown,8/2/2004,2
30337,Unknown,7/30/2004,3
30330,United States,8/1/2004,2
30331,United States|Unknown,8/1/2004,3
30332,United Kingdom,8/1/2004,2
30227,United States,7/23/2004,2
30338,United Kingdom|Unknown,8/2/2004,2
30224,United States,7/23/2004,2
7566,United States,2/11/1999,2
30225,United States,7/14/2004,7
7567,United States,2/11/1999,2
30222,United States,7/22/2004,4
43059,New Zealand,11/8/2007,2
7564,United States,2/11/1999,2
10251,Unknown|Australia,8/30/1999,2
30223,United States,7/23/2004,2
52460,United States|South Africa,10/22/2010,2
7565,United States,2/11/1999,2
30220,United States,7/22/2004,3
52461,United States|Unknown,10/22/2010,3
7562,Canada,2/11/1999,3
30221,United States,7/22/2004,2
52462,Australia|India|France|United States|New Zealand|Norway,10/15/2010,13
44800,United States|Unknown,5/9/2008,2
52463,United Kingdom,10/23/2010,2
7560,Canada,2/11/1999,2
52464,United States,10/22/2010,3
7561,United States,2/11/1999,2
52465,Unknown,10/23/2010,2
52466,United States|United Kingdom,10/23/2010,4
52467,United Kingdom|India,10/22/2010,3
53143,India,1/5/2011,2
35218,Unknown,11/1/2005,2
35219,United States|Unknown,11/7/2005,4
53563,Canada,2/7/2011,2
35214,Canada|Unknown,11/7/2005,2
35215,Unknown,11/7/2005,2
10253,United States|Canada,9/4/1999,4
35217,Canada|Unknown,11/7/2005,2
35210,Canada|United States|Australia|France|United Kingdom,10/20/2005,12
35211,Australia,11/7/2005,2
35212,United States,11/7/2005,2
35213,United States,11/7/2005,2
23266,Canada,10/14/2002,2
23267,United States,10/9/2002,4
23264,Netherlands,10/14/2002,2
23265,Singapore,10/14/2002,2
23262,United States|Unknown,10/14/2002,2
23263,Canada|Unknown|France,10/7/2002,4
23260,Unknown,10/14/2002,2
23261,United Kingdom,10/14/2002,2
23268,United States|Canada,10/13/2002,4
23269,United States|Unknown,10/14/2002,3
8803,Australia,5/12/1999,5
50039,Unknown,2/16/2010,3
9258,Australia,6/23/1999,4
50038,Unknown,2/16/2010,2
50080,United States,2/16/2010,2
53733,Unknown,2/23/2011,2
53732,United States|Unknown,2/24/2011,2
39507,United States,12/15/2006,2
53731,United Kingdom|Unknown,2/24/2011,2
43859,India,1/25/2008,2
43858,United Kingdom,1/24/2008,2
43853,United States|United Kingdom,1/24/2008,2
43852,United Kingdom|Unknown,1/24/2008,3
43851,United States,1/24/2008,6
43850,United Kingdom|United States,1/23/2008,4
43857,Japan,1/25/2008,2
43856,United States|England,1/24/2008,2
43855,United States,1/23/2008,2
43854,United States,1/24/2008,3
53735,Australia,2/25/2011,3
53734,Unknown|India|France,2/23/2011,5
49164,United States|Netherlands|South Africa,11/19/2009,3
6778,United States,12/23/1998,2
6779,United States,12/22/1998,3
14601,United States,6/30/2000,2
6774,United States|Canada,12/20/1998,3
6775,United States|Unknown,12/23/1998,2
6776,United States,12/23/1998,2
6777,United States,12/23/1998,2
6770,United States|Unknown,12/17/1998,7
6771,United States,12/22/1998,2
6772,United States|Unknown,12/18/1998,7
6773,United States|Unknown,12/21/1998,5
50037,Czech Republic,2/16/2010,3
46797,United States,1/19/2009,2
50036,Unknown,2/16/2010,2
9333,United States,6/29/1999,3
46796,United Kingdom|South Africa,1/16/2009,2
6935,Unknown,1/4/1999,2
49565,Unknown,1/5/2010,2
49564,Canada,1/5/2010,9
46799,United States,1/21/2009,2
46798,Canada,1/14/2009,2
49561,United States,1/2/2010,6
49560,United States|Ireland|South Africa,1/5/2010,3
55201,Canada,7/18/2011,5
49563,Unknown,1/6/2010,2
55200,United States,7/18/2011,2
49562,Canada|United States,12/29/2009,6
55203,United States,7/14/2011,2
32601,United States,2/26/2005,2
55205,India,7/18/2011,2
55204,Unknown,7/18/2011,2
55207,United States|Unknown,7/18/2011,3
55206,India,7/18/2011,2
42810,United States|Korea,10/14/2007,3
42811,United Kingdom,10/15/2007,7
42812,New Zealand,10/16/2007,2
42813,United States,10/12/2007,3
42814,Canada,10/16/2007,2
42815,United States,10/16/2007,4
42816,United States,10/16/2007,2
42817,Unknown,10/5/2007,4
42818,United States,10/10/2007,2
42819,United States,10/15/2007,3
58461,Unknown|Australia,5/22/2012,3
5058,Canada,5/6/1998,2
5059,United States,5/6/1998,2
5054,United States,5/7/1998,2
5055,United States|Unknown,5/7/1998,2
5056,United States|Malaysia|Canada|Unknown,4/24/1998,10
5057,United States|Unknown,5/6/1998,2
5050,United States|Canada,5/7/1998,2
5051,United States|Unknown|Australia,5/2/1998,5
5052,Ireland,5/7/1998,2
5053,Norway,5/7/1998,2
38569,Malaysia|Australia,9/9/2006,4
38568,United States,9/16/2006,2
38561,United States|United Kingdom,9/17/2006,2
38560,United States,9/17/2006,2
38563,Australia,9/17/2006,2
38562,United States|Unknown|New Zealand,9/14/2006,4
38565,United States,9/17/2006,3
38564,United States,9/17/2006,2
38567,United States|Unknown,9/15/2006,2
38566,Australia,9/17/2006,2
53561,United Kingdom|United States,2/7/2011,2
18893,Unknown,7/24/2001,3
18892,United States,7/24/2001,2
18891,Canada,7/24/2001,2
18890,Unknown,7/24/2001,2
18897,United States|Unknown|Australia|England|United Kingdom,7/17/2001,28
18896,United States,7/24/2001,2
18895,United States,7/24/2001,3
18894,United States,7/24/2001,2
18899,United States,7/25/2001,2
18898,United States,7/25/2001,3
48128,Australia,7/11/2009,2
48129,Unknown,7/16/2009,2
44221,United States,2/29/2008,2
44220,United States,2/29/2008,2
44223,Unknown,2/29/2008,2
44222,Canada|Unknown,2/28/2008,6
36178,United States,1/30/2006,2
36179,Unknown,1/25/2006,3
44227,United States,2/29/2008,2
44226,United States|Unknown,2/27/2008,2
36174,United States|Unknown,1/24/2006,4
36175,United States,1/31/2006,2
36176,United States|Unknown,1/31/2006,3
36177,United States|United Kingdom,1/31/2006,3
36170,United States,1/30/2006,2
36171,United States|Unknown,1/30/2006,2
36172,United States,1/30/2006,2
36173,United Kingdom,1/31/2006,2
18769,Unknown,7/13/2001,2
18768,Canada|Unknown,7/11/2001,11
33528,United States|Unknown,5/24/2005,5
33529,United States|Unknown,5/24/2005,3
18761,United States,7/12/2001,2
18760,United States|Unknown,7/11/2001,2
18763,United States,7/12/2001,2
18762,United States,7/12/2001,2
18765,United States,7/12/2001,2
18764,United States,7/5/2001,2
18767,United States|Unknown,7/7/2001,3
18766,Unknown,7/13/2001,2
41543,United States,6/8/2007,2
41542,United States|New Zealand|China,6/4/2007,6
41541,Unknown,5/30/2007,3
41540,United Kingdom|United States|Australia,6/1/2007,8
41547,Canada,6/8/2007,3
41546,United States|Unknown,6/7/2007,2
41545,United States|Unknown,5/25/2007,4
41544,United Kingdom|Unknown,6/8/2007,4
8535,Canada,4/27/1999,2
41549,United States|Unknown,6/8/2007,3
41548,China,6/8/2007,2
38874,United States,10/20/2006,2
54060,India,3/29/2011,2
38873,United States|Unknown,10/19/2006,3
53459,United States,1/28/2011,2
52381,United States,10/14/2010,2
54061,India,3/29/2011,2
6958,United States,1/6/1999,2
38872,United States|Unknown,10/20/2006,2
58541,India,6/10/2012,2
54066,Canada|Unknown,3/25/2011,2
6959,United States|England,1/6/1999,3
38871,Unknown,10/13/2006,2
8035,United States,3/18/1999,3
8034,Canada,3/19/1999,2
8037,United States,3/19/1999,2
8036,United States,3/19/1999,2
52383,United States|Canada,10/14/2010,2
8030,Ireland,3/19/1999,3
8033,United States,3/19/1999,2
58540,United States,6/10/2012,3
54067,Australia,3/30/2011,2
8039,Canada|Unknown,3/20/1999,2
8038,Unknown,3/20/1999,2
58075,Unknown,4/21/2012,3
12589,Australia,1/22/2000,2
12588,United Kingdom,1/18/2000,2
38870,United States,10/20/2006,2
58074,Russia,4/23/2012,6
12583,United States|England,1/15/2000,6
12582,United States,1/20/2000,4
12581,United States|Unknown|England|United Kingdom,12/30/1999,28
12580,United States,1/20/2000,2
12587,Australia,1/22/2000,2
12586,United States,1/22/2000,2
12585,United States,1/22/2000,2
12584,United Kingdom|United States,1/22/2000,2
44913,India,5/22/2008,2
44912,United Kingdom,5/23/2008,2
44911,United States|Australia,5/21/2008,4
44910,United Kingdom|United States|England|Unknown,5/22/2008,6
44917,United Kingdom,5/23/2008,2
37388,United Kingdom|Australia|Zimbabwe,5/27/2006,2
44915,United Kingdom|Unknown,5/16/2008,7
44914,Australia,5/22/2008,5
54064,Kenya|Netherlands|South Africa,3/30/2011,2
58071,United States|Thailand|Pakistan,4/12/2012,9
44919,Australia,5/23/2008,2
44918,United States,5/23/2008,2
58070,South Africa,4/25/2012,2
58073,United States|Unknown,4/25/2012,2
58072,Unknown,4/18/2012,9
58542,England,6/11/2012,2
54065,India,3/30/2011,2
39467,Netherlands|South Africa,12/12/2006,2
55557,United States|Unknown,8/23/2011,2
48121,United States|Unknown,7/13/2009,3
58545,Canada|Qatar|Unknown|France|Ireland|Norway|Bahrain|Australia|Singapore|China|Armenia|Thailand|Indonesia|United States|New Zealand|Pakistan|England|South Africa|United Arab Emirates|India|United Kingdom|Malaysia,3/9/2012,1388
13988,United States,5/7/2000,2
13989,United States|Unknown|Australia,5/3/2000,4
11768,United States,12/26/1999,2
13984,United States,5/6/2000,2
13985,Canada,5/6/2000,3
13986,United States,5/6/2000,2
13987,Unknown,5/6/2000,2
13980,Canada,5/6/2000,4
13981,United Kingdom|Unknown|New Zealand,5/5/2000,7
13982,United States,5/6/2000,2
13983,Ireland,5/6/2000,2
50357,United States|Unknown,3/5/2010,5
48126,Unknown,7/16/2009,3
11769,Unknown,12/26/1999,2
52653,Netherlands|Namibia|South Africa,11/11/2010,2
38976,Canada,10/30/2006,2
38977,United States,10/30/2006,2
48127,United States,7/6/2009,3
56879,India,12/31/2011,2
38974,United States,10/30/2006,2
13678,United States,4/12/2000,3
13679,Canada,4/12/2000,2
43338,United States|New Zealand,12/4/2007,5
43339,United States,11/27/2007,4
13672,United States,4/10/2000,3
13673,Canada,4/11/2000,3
13670,United States|Unknown|Canada|Libya,4/10/2000,11
13671,United States,4/3/2000,9
13676,United States,4/5/2000,6
13677,United States,4/12/2000,2
13674,United States|United Kingdom,4/12/2000,2
13675,United States|France,4/12/2000,4
16002,United States,11/7/2000,3
16003,United Kingdom|Unknown,11/7/2000,2
16000,United States,11/6/2000,2
16001,Canada,11/6/2000,2
16006,United Kingdom,11/7/2000,2
16007,United States|France,11/7/2000,3
16004,United States,11/7/2000,2
16005,United States|Unknown,11/6/2000,2
5865,United Kingdom|Unknown,8/31/1998,2
43660,United States|Unknown,1/9/2008,2
16008,United States|Unknown,11/6/2000,2
16009,United Kingdom,11/7/2000,2
5861,United States|Canada|Norway|Unknown,8/27/1998,6
5860,United States,8/31/1998,2
5863,United States,8/30/1998,2
5862,United States|Unknown,8/31/1998,2
56842,Unknown|India,12/26/2011,3
43000,New Zealand,11/1/2007,3
56840,United States|Korea,12/5/2011,19
56841,United States|Unknown,12/27/2011,2
17359,Unknown|Australia,3/4/2001,2
17358,United Kingdom,3/4/2001,2
56844,Unknown,12/26/2011,2
43001,United Kingdom,11/3/2007,2
17355,United States,3/4/2001,2
17354,United States,3/3/2001,2
17357,United States|Unknown|Norway,3/3/2001,4
17356,United States,3/4/2001,2
17351,United States,3/3/2001,2
17350,Australia,3/3/2001,2
17353,United Kingdom|New Zealand,3/3/2001,2
17352,United States|Unknown,3/2/2001,3
6058,United States,10/6/1998,2
48125,Australia,7/16/2009,2
43661,United States|Unknown,1/9/2008,2
43005,United States|Unknown|Canada,11/2/2007,9
54143,United Kingdom|Unknown,4/6/2011,2
50273,United States|Unknown,2/22/2010,3
43008,Canada,11/3/2007,3
